F10001,Foundation Operating Fund,
F10008,Pillars General Fund,
F10300,Unrestricted Endowment,
F15050,Academic Affairs - Macon Center,
F15100,Academic Affairs - Faculty Research,
F15150,Academic Affairs - Faculty/Staff Awards,
F15160,Academic Affairs - Honors,
F15170,Academic Affairs - Undergraduate Research,
F15200,Academic Affairs - Faculty Development,
F15230,Academic Affairs - Teaching Circles,
F15240,Academic Affairs - Leadership Development,
F15250,Staff Council - HF,
F15300,Presidents Discretionary Fund,
F15310,VP Administration & Operations,
F15330,VP Student Affairs,
F15350,Moving Expense,
F15400,Academic Affairs - Enrollment Management,
F15450,College of Arts & Sciences - HF,
F15500,College of Education - HF,
F15550,College of Health Sciences - HF,
F15600,College of Business - HF,
F15800,Student Affairs - Student Research Travel,
F15850,MFA Fellowship,
F15860,Academic Affairs - GEM (Georgia Education Mentorship),
F15900,Student Ambassadors,
F16050,Accounting & Audit,
F16200,Development Promotions,
F16400,Legal Fees,
F16450,Insurance - Land/Prop/Equip/D&O Liab,
F16500,Mansion Furnishing Insurance,
F16550,Administrative Fees,
F16600,External Relations,
F16650,Advancement Services,
F16850,"Development - Annual Fund, Phonathon & Planned Giving",
F16900,"Major Gifts - Major Gifts, Campaign, and Stewardship",
F16950,Special Projects - New Academy of Distinguished Alumni & Fri,
F17050,Alumni Association Heritage Fund Allocation,
F18300,Salary Supplement,
F20001,Art as an Agent for Change (AAC),
F20003,YES Water Works Program,
F20004,India Initiative,
F20007,Cancer Wellness Program,
F20008,University Housing,
F20011,Campus Life,
F20012,Undesignated Scholarships,
F20013,Special Event,
F20014,Center for Student Success,
F20015,Innovative Course Building Group,
F20016,History Day,
F20017,Undergraduate Management Scholarship,
F20018,Presser Undergraduate Scholar Award,
F20019,Infinity Network Solutions Continuing Educ AnnualScholarship,
F20020,Herty Hall Laboratory,
F20501,Art Department,
F20502,Biological & Environmental Sciences Department,
F20503,Chemistry & Physics Department,
F20504,"English, Speech, & Journalism Department",
F20505,"History, Geography, & Philosophy Department",
F20506,Mathematics Department,
F20507,Modern Languages and Cultures  Department,
F20508,Music Department,
F20509,College of Health Sciences,
F20511,Psychology Department,
F20512,Bobcat Ramble Scholarship,
F20513,Accounting Department,
F20514,Information Systems & Computer Science,
F20516,Management Department,
F20517,Marketing Department,
F20518,Logistics Education Center,
F20521,Special Education & Administration Department,
F20522,Kinesiology,
F20523,Academic Computing Labs,
F20524,Extended University,
F20525,Library,
F20526,Media Services,
F20529,College of Liberal Arts & Sciences,
F20531,College of Education,
F20532,Student Affairs,
F20533,University  Career Center,
F20534,Enrollment Services,
F20535,Vice President of Business & Finance,
F20536,Business Office,
F20537,Public Safety,
F20538,Health Services,
F20539,Honors Program,
F20540,Vice President of Academic Affairs,
F20542,Presidential Scholars Fund,
F20543,Academic Assistance Department,
F20544,Residence Life,
F20546,Government & Sociology Department,
F20548,Plant Operations,
F20549,Counseling Services,
F20550,University Advancement,
F20553,Minority Affairs,
F20554,Macon Center for Grad & Prof Learning,
F20555,Administrative Services,
F20557,Bookstore,
F20559,Music Therapy Department,
F20560,University Communications,
F20561,WGUR Fund,
F20562,Human Resources,
F20564,College of Business Deans Discretionary,
F20567,Music Therapy Society,
F20568,Exceptional Scholars Recruitment Fund,
F20570,Center for Georgia Studies,
F20571,Mass Communications,
F20573,History Club Library,
F20576,Learning In Retirement,
F20578,Economics & Finance,
F20579,Center for Advanced Technology Services,
F20582,Arts Unlimited,
F20583,Liberal Arts Mission Endowment,
F20584,Alpha Lambda Delta,
F20585,CASTL Grant,
F20588,Middle Grades Education,
F20589,Women in Chemistry Alliance,
F20590,Lindsay Speakers,
F20592,Friends of the Mansion,
F20593,Friends of the Library,
F20594,Geographic Research,
F20595,Study Abroad:  Galapagos,
F20596,Parrotts Pointe Scholarship,
F20597,Budget Office,
F20598,Georgia Education Mentorship Program (GEM),
F20701,Blackbridge Hall,
F20702,Grassmann Projects,
F20704,Carillon,
F20705,Sabbatical Supplement,
F20706,Alumni Relations,
F20707,Flannery OConnor Bulletin/Review,
F20708,Flannery OConnor Collection,
F20710,Black Youth & Business Summer Program,
F20711,Special Student Services,
F20712,Womens Basketball Program,
F20713,Greenhouse Fund,
F20714,Clock Tower,
F20715,RAVE,
F20716,GCSU Ski Team,
F20717,Food for Thought,
F20720,Athletics Administration,
F20721,GCSU Bands,
F20724,Arts & Cultural Events,
F20725,Institutional Research,
F20726,Womens Softball Program,
F20729,Staff Council,
F20731,Theatre,
F20732,Lettie Pate Whitehead Nursing Scholarships,
F20733,GCSU Rugby Team,
F20734,Central Georgia Research,
F20735,Adventure Research,
F20738,Center for Economic Education,
F20740,Center for Health and Social Issues,
F20750,Vertebrate Collection,
F20751,Piano Foundation,
F20754,Depot Renovation,
F20758,Presidents Marriott,
F20763,Womens Studies,
F20765,GCSU Baseball,
F20766,Nursing Center,
F20767,Front Campus & Mansion Gardens,
F20768,GCSU Dance Team,
F20769,Coordinator of Field Experience,
F20770,McDaniel Research,
F20774,Bobcat Club,
F20775,GCSU Accounting Education Association,
F20776,Arts Complex,
F20777,Mary Jo Thompson Scholarship,
F20780,Cross Country Program,
F20782,Gautier Preserve,
F20788,Athletics Facilities,
F20789,The Habit of Art,
F20790,GCSU Cheerleaders,
F20791,Mansion Garden Restoration,
F20793,Science & Engineering Fair,
F20795,Mens Basketball,
F20803,College of Health Sciences Study Abroad Scholarship,
F20804,Psychophysiology Laboratory Fund,
F20805,Leadership Program,
F20807,Epsilon Theta Club,
F20808,GCSU Science Programs,
F20809,Womens Resource Center,
F20811,Piano Olympics,
F20812,Gourmet Melodies,
F20813,iLab,
F20814,Yao-Chiang Research Fund,
F20815,Mansion Furnishings,
